Company,AltName,SampleSet,NewsID,City,State,Circ,whiteCensus,blackCensus,hispanicCensus,asianCensus,femaleCensus,femaleDiff,female2001,female2018,radius,femaleLeaders2018,latitude,longitude,hasLocation
the villages daily sun,,FALSE,2083,the villages,fl,E,0.969,0.003,0.017,0.006,0.531,0.204807692,0.307692308,0.5125,5.913043478,0.526315789,28.917484,-81.922859,TRUE
the courier-journal,,FALSE,183,louisville,ky,C,0.676,0.223,0.047,0.024,0.517,0.166666667,0.264367816,0.431034483,5.147826087,0.333333333,38.252666,-85.758461,TRUE
the cincinnati enquirer,,FALSE,328,cincinnati,oh,C,0.493,0.427,0.03,0.02,0.525,0.146871686,0.304347826,0.451219512,5.982608696,0.4,39.103115,-84.512016,TRUE
statesman journal,,FALSE,358,salem,or,D,0.683,0.014,0.217,0.027,0.503,0.135714286,0.4,0.535714286,4.104347826,0.6,27.336435,-82.530647,TRUE
arizona daily star,,FALSE,15,tucson,az,D,0.458,0.046,0.425,0.028,0.505,0.109333333,0.384,0.493333333,5.739130435,0.571428571,32.221745,-110.926476,TRUE
the herald-times,,FALSE,808,bloomington,in,E,0.787,0.04,0.041,0.094,0.502,0.095334686,0.352941176,0.448275862,4.139130435,0.5,39.165325,-86.52639,TRUE
times union,,FALSE,487,albany,ny,C,0.512,0.283,0.096,0.07,0.527,0.079650462,0.328244275,0.407894737,5.773913043,0.368421053,42.65258,-73.756233,TRUE
lansing state journal,,FALSE,1039,lansing,mi,D,0.556,0.209,0.123,0.041,0.521,0.07730812,0.370967742,0.448275862,4.139130435,0.428571429,42.732533,-84.555534,TRUE
rochester democrat and chronicle,,FALSE,295,rochester,ny,C,0.365,0.388,0.174,0.036,0.515,0.076847291,0.351724138,0.428571429,4.834782609,0.454545455,43.16103,-77.610924,TRUE
akron beacon journal,,FALSE,326,akron,oh,C,0.8508,0.0886,0.0196,0.0204,,0.071428571,0.375,0.446428571,5.07826087,0.4,41.081444,-81.519005,TRUE
daily press media group,,FALSE,1682,newport news,va,D2,0.5276,0.3314,0.0638,0.0382,,0.064119455,0.414141414,0.47826087,5.530434783,0.357142857,37.087082,-76.473015,TRUE
Naples Daily News,,FALSE,686,naples,fl,D2,0.888,0.048,0.052,0.004,0.531,0.058906031,0.419354839,0.47826087,4.730434783,0.416666667,26.142035,-81.794807,TRUE
the clarion-ledger,,FALSE,249,jackson,ms,C,0.174,0.799,0.015,0.004,0.537,0.055507745,0.337349398,0.392857143,4.104347826,0.285714286,32.298759,-90.184814,TRUE
bangor daily news,,FALSE,196,bangor,me,D,0.935,0.015,0.016,0.012,0.511,0.055443774,0.436619718,0.492063492,5.32173913,0.4375,44.801182,-68.777809,TRUE
the sacramento bee,,FALSE,45,sacramento,ca,B,0.335,0.132,0.281,0.182,0.515,0.052819369,0.358139535,0.410958904,5.669565217,0.384615385,38.58157,-121.4944,TRUE
the state,,FALSE,398,columbia,sc,C,0.481,0.411,0.058,0.022,0.485,0.050135501,0.388888889,0.43902439,4.556521739,0.333333333,34.00071,-81.034813,TRUE
the morning call,,FALSE,1771,allentown,pa,C,0.376,0.108,0.471,0.019,0.515,0.049910873,0.31372549,0.363636364,5.426086957,0.294117647,40.608433,-75.490181,TRUE
corpus christi caller-times,,FALSE,425,corpus christi,tx,D,0.315,0.04,0.613,0.019,0.509,0.033483258,0.449275362,0.482758621,4.139130435,0.4,27.800583,-97.396385,TRUE
victoria advocate,,FALSE,1655,victoria,tx,E,0.407,0.065,0.496,0.016,0.512,0.030808729,0.390243902,0.421052632,4.452173913,0.444444444,28.805267,-97.003593,TRUE
albuquerque journal,,FALSE,290,albuquerque,nm,C,0.381,0.025,0.485,0.017,0.505,0.019116187,0.41509434,0.434210526,5.773913043,0.318181818,35.110703,-106.609993,TRUE
the plain dealer,,FALSE,330,cleveland,oh,B,0.341,0.508,0.105,0.019,0.522,0.008343126,0.356521739,0.364864865,5.704347826,0.384615385,41.499321,-81.694359,TRUE
the commercial appeal,,FALSE,415,memphis,tn,C,0.273,0.626,0.067,0.018,0.524,0.006791171,0.315789474,0.322580645,4.208695652,0.2,35.149532,-90.048981,TRUE
the knoxville news sentinel,,FALSE,413,knoxville,tn,C,0.731,0.172,0.049,0.018,0.518,0.003879386,0.411214953,0.41509434,4.973913043,0.333333333,35.96064,-83.920746,TRUE
"Philadelphia Media Network - The Philadelphia Inquirer, Daily News & Philly.com",Philadelphia Media Network,FALSE,9968,philadelphia,pa,,0.358,0.415,0.134,0.068,0.528,,,0.432773109,11.40869565,0.34375,,,FALSE
the arizona republic/azcentral.com,,FALSE,2364,phoenix,az,A,0.45,0.066,0.413,0.033,0.501,,,0.447552448,8.104347826,0.5,38.9072,-77.0369,TRUE
honolulu star-advertiser,,FALSE,126,honolulu,hi,C,0.221,0.022,0.104,0.377,0.495,,,0.357798165,6.92173913,0.294117647,21.306944,-157.858322,TRUE
the baltimore sun,,FALSE,2365,baltimore,md,B,0.281,0.623,0.046,0.026,0.529,,,0.394495413,6.92173913,0.371428571,38.9072,-77.0369,TRUE
SB Nation,,FALSE,9977,new york,ny,,0.613,0.133,0.178,0.057,0.508,,,0.211538462,6.747826087,0.066666667,42.262592,-71.802292,TRUE
vox.com,,FALSE,2398,washington,dc,O,0.613,0.133,0.178,0.057,0.508,,,0.601941748,6.713043478,0.727272727,,,FALSE
New York Public Radio,,FALSE,9985,new york,ny,,0.479,0.158,0.236,0.104,0.517,,,0.606382979,6.4,0.583333333,42.262592,-71.802292,TRUE
The Verge,,FALSE,9976,new york,ny,,0.613,0.133,0.178,0.057,0.508,,,0.407407407,5.947826087,0.352941176,42.262592,-71.802292,TRUE
MPR News,,FALSE,9984,st. paul,mn,,0.806,0.062,0.052,0.049,0.503,,,0.456790123,5.947826087,0.7,38.9779,-77.0075,TRUE
propublica,,FALSE,2199,new york,ny,O,0.613,0.133,0.178,0.057,0.508,,,0.454545455,5.808695652,0.444444444,40.712784,-74.005936,TRUE
Southern California Public Radio,,FALSE,9975,pasadena,ca,,0.326,0.063,0.457,0.124,0.506,,,0.611111111,5.634782609,0.5625,34.14,-118.1445,TRUE
the oregonian/oregonlive,,FALSE,2382,portland,or,C,0.716,0.057,0.097,0.075,0.506,,,0.414285714,5.565217391,0.526315789,,,FALSE
PBS NewsHour,,FALSE,9966,arlington,va,,0.613,0.133,0.178,0.057,0.508,,,0.463768116,5.530434783,0.411764706,,,FALSE
The Intercept,,FALSE,9967,new york,ny,,0.613,0.133,0.178,0.057,0.508,,,0.463768116,5.530434783,0.4375,,,FALSE
slate magazine,,FALSE,2356,brooklyn,ny,O,0.613,0.133,0.178,0.057,0.508,,,0.393939394,5.426086957,0.391304348,,,FALSE
chicago sun-times,,FALSE,134,chicago,il,B,0.322,0.309,0.291,0.059,0.515,,,0.276923077,5.391304348,0.166666667,41.878113,-87.629799,TRUE
Eater,,FALSE,9981,new york,ny,,0.613,0.133,0.178,0.057,0.508,,,0.603174603,5.32173913,0.653846154,42.262592,-71.802292,TRUE
Chicago Public Media,,FALSE,9986,chicago,il,,0.54,0.167,0.214,0.061,0.511,,,0.475409836,5.252173913,0.444444444,41.878113,-87.629799,TRUE
"the blade of toledo, ohio",,FALSE,2369,toledo,oh,C,0.607,0.263,0.078,0.013,0.515,,,0.491525424,5.182608696,0.222222222,,,FALSE
